,SMILES,MaxEStateIndex,MinEStateIndex,MaxPartialCharge,MinPartialCharge,FpDensityMorgan2,BalabanJ,BertzCT,HallKierAlpha,LabuteASA,TPSA,FractionCSP3,MolLogP,HOMO,LUMO,gap,dipole,BDE,IP,PDE,PA,ETE
45,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,10.31857,-0.67066,0.30284,-0.48123,1.35,3.17377,266.59179,-1.05,124.51982,37.3,0.72222,5.8845,-9.54,0.958,10.498,1.44096,67.98051,199.59254,82.87871,281.71958,42.29724
46,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,10.31488,-0.67484,0.30284,-0.48123,1.35,3.23291,300.54008,-1.31,123.83021,37.3,0.61111,5.6605,-9.45,0.926,10.376,2.21029,70.39136,183.89604,99.81611,282.96048,43.46719
47,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,10.30055,-0.69476,0.30284,-0.48123,1.3,3.31534,300.54008,-1.31,123.83021,37.3,0.61111,5.6605,-9.49,0.929,10.419,1.75833,71.11277,182.12963,100.3401,281.71806,45.43102
48,CC/C=C\C=C\C=C\C=C/CCCCCCCC(=O)O,10.30919,-0.68152,0.30284,-0.48123,1.35,3.35102,335.32739,-1.57,123.14061,37.3,0.5,5.4365,-8.52,0.438,8.958,1.99746,65.0943,166.78534,110.69909,276.73276,44.39785
49,CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O,10.34907,-0.66427,0.30284,-0.48123,1.22727,3.15293,292.08237,-1.05,137.2497,37.3,0.75,6.6647,-9.45,0.942,10.392,1.70927,67.02297,198.2198,81.41019,278.87832,44.18096
50,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O,10.34615,-0.66754,0.30284,-0.48123,1.22727,3.20075,326.59895,-1.31,136.5601,37.3,0.65,6.4407,-9.5,0.98,10.48,2.22465,67.86624,184.53092,89.16089,272.94014,50.96241
51,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O,10.3379,-0.67825,0.30284,-0.48123,1.22727,3.28502,326.59895,-1.31,136.5601,37.3,0.65,6.4407,-9.32,0.915,10.235,2.03717,66.23844,200.24499,73.13416,272.62748,49.64727
52,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)O,10.33497,-0.68153,0.30284,-0.48123,1.22727,3.3367,361.90353,-1.57,135.87049,37.3,0.55,6.2167,-9.5,0.959,10.459,2.27507,66.90552,187.58787,92.21548,279.05168,43.89015
53,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,10.31381,-0.71214,0.30285,-0.48123,1.18182,3.40147,361.90353,-1.57,135.87049,37.3,0.55,6.2167,-9.66,0.826,10.486,1.61449,62.07337,177.57627,96.11526,272.93986,45.16982
54,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,10.31088,-0.71541,0.30285,-0.48123,1.13636,3.45648,397.93031,-1.83,135.18089,37.3,0.45,5.9927,-9.5,0.93,10.43,1.70948,66.8738,185.25428,93.48401,277.98662,44.92349
55,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O,10.33217,-0.7002,0.30284,-0.48123,1.13043,3.43776,411.55751,-1.83,141.54583,37.3,0.47619,6.3828,-9.65,0.9,10.55,1.73799,64.93292,179.60559,94.91352,273.76744,47.20179
56,CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)O,10.37358,-0.66014,0.30284,-0.48123,1.125,3.13668,317.9316,-1.05,149.97959,37.3,0.77273,7.4449,-9.53,1.037,10.567,1.87081,73.88589,200.42528,72.23372,271.90733,58.01487
57,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O,10.35199,-0.68729,0.30284,-0.48123,1.125,3.37362,388.7741,-1.57,148.60038,37.3,0.59091,6.9969,-9.5,0.888,10.388,1.45554,68.96936,185.72619,74.35578,259.3303,65.67537
58,CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,10.3181,-0.73854,0.30315,-0.48122,1.08333,3.46404,425.25087,-1.83,147.91078,37.3,0.5,6.7729,-9.46,0.95,10.41,1.49585,69.85666,191.52505,86.99418,277.76756,48.12541
59,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,10.31572,-0.74118,0.30315,-0.48122,0.95833,3.51142,462.36159,-2.09,147.22117,37.3,0.40909,6.5489,-9.43,0.793,10.223,1.88902,67.45822,187.52277,92.34073,279.11183,44.3827
60,CC[C@H](C)[C@H](N)C(=O)O,10.17463,-0.91264,0.32025,-0.48008,2.22222,3.71614,103.23098,-0.57,54.85961,63.32,0.83333,0.4444,-9.91,0.774,10.684,1.34484,64.12966,196.7825,80.08367,276.1145,44.05147
61,CC(C)C[C@H](N)C(=O)O,10.10977,-0.91324,0.31998,-0.48009,2.11111,3.50169,101.23098,-0.57,54.85961,63.32,0.83333,0.4444,-9.76,0.714,10.474,1.29216,61.90616,196.16554,78.99567,274.40954,43.53293
62,NCCCC[C@H](N)C(=O)O,10.13722,-0.93331,0.31997,-0.48009,2.1,3.21488,105.92094,-0.61,60.1995,89.34,0.83333,-0.4727,-9.57,0.628,10.198,0.97714,63.83672,192.63622,81.76611,273.65066,46.22237
63,CSCC[C@H](N)C(=O)O,10.07088,-0.91292,0.32,-0.48009,2.44444,3.26591,96.95878,-0.22,58.61778,63.32,0.8,0.1514,-8.59,0.144,8.734,2.53174,63.06546,187.16416,85.56208,271.97457,47.1272
64,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,10.26918,-1.06886,0.32086,-0.48006,1.28571,3.46818,192.00819,-0.44,88.80144,126.64,0.66667,-0.8084,-9.1,1.141,10.241,3.87478,58.23533,173.64164,85.55834,258.44831,55.82333
65,N[C@@H](Cc1ccccc1)C(=O)O,10.37864,-0.9594,0.32032,-0.48008,2,2.5846,258.49086,-1.35,70.82188,63.32,0.22222,0.641,-9.56,0.179,9.739,0.96708,62.28371,205.38969,67.00058,271.6386,46.68142
66,N[C@@H](Cc1ccc(O)cc1)C(=O)O,10.3962,-1.0203,0.32032,-0.50797,1.92308,2.64176,294.23305,-1.55,75.61611,83.55,0.22222,0.3466,-9.15,0.089,9.239,3.32553,62.05574,193.99872,77.45539,270.70244,47.38961
67,C[C@@H](O)[C@H](N)C(=O)O,9.85574,-1.18056,0.32266,-0.48001,2.125,3.63768,91.28421,-0.61,46.92396,83.55,0.75,-1.2209,-9.86,0.498,10.358,3.08449,60.46028,168.49042,95.59588,263.33463,53.16196
68,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,10.62639,-0.97196,0.32032,-0.48008,2.2,2.32349,490.04851,-1.81,86.7127,79.11,0.18182,1.1223,-8.56,0.112,8.672,0.97216,61.44328,176.88956,97.13788,273.27577,44.20382
