,SMILES,MaxEStateIndex,MinEStateIndex,MaxPartialCharge,MinPartialCharge,FpDensityMorgan2,BalabanJ,BertzCT,HallKierAlpha,LabuteASA,TPSA,FractionCSP3,MolLogP,HOMO,LUMO,gap,dipole,BDE,IP,PDE,PA,ETE
91,CC(O)C(=O)O,9.44907,-1.23148,0.33172,-0.47934,2,3.25759,57.05865,-0.57,35.21912,57.53,0.66667,-0.5482,-10.84,0.553,11.393,1.39927,70.74301,212.7119,58.97722,270.93745,55.84187
92,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,10.09087,-2.19796,0.33488,-0.47925,1.53846,4.2351,170.3657,-0.73,73.49089,138.45,0.83333,-3.4931,-10.49,0.519,11.009,2.40185,73.20295,204.50358,44.86035,248.61226,80.627
93,O=C(O)C(=O)O,9.09954,-1.82407,0.41436,-0.47281,1.16667,3.5677,71.54888,-1.06,33.0157,74.6,0,-0.8444,-11.34,0.815,12.155,0.00029,108.3959,238.35334,23.03893,260.6406,103.79161
94,O=C(O)CCC(=O)O,9.64042,-1.07648,0.30343,-0.48122,1.25,3.18185,92.60594,-1.06,45.74559,74.6,0.5,-0.0642,-11.27,0.602,11.872,0.0071,84.00727,245.36613,28.25707,272.87153,67.17205
95,O=C(O)/C=C/C(=O)O,9.55361,-1.25704,0.32807,-0.47807,1.25,3.66863,118.97374,-1.32,45.05599,74.6,0,-0.2882,-11.5,1.467,12.967,2.36142,97.17755,248.51287,19.95908,267.72028,85.49358
96,O=C(O)CC(O)C(=O)O,9.72144,-1.78935,0.33263,-0.48115,1.77778,3.63243,128.91968,-1.1,50.53982,94.83,0.5,-1.0934,-11.15,0.29,11.44,1.22876,71.91198,226.52105,36.8264,262.59578,65.35251
97,O=C(O)C(O)C(O)C(=O)O,9.77185,-2.2662,0.33543,-0.47924,1.1,4.06951,133.82681,-1.14,55.33406,115.06,0.5,-2.1226,-11.15,0.179,11.329,3.04597,71.97713,227.60974,28.17247,255.03054,72.9829
98,O=C(O)CCC(=O)C(=O)O,10.1844,-1.58218,0.37166,-0.48122,1.5,3.60416,170.87712,-1.39,56.27205,91.67,0.4,-0.4951,-10.83,0.449,11.279,1.55972,72.82024,215.88547,47.74892,262.88272,65.97383
99,O=C(O)CC(O)(CC(=O)O)C(=O)O,10.31556,-2.73843,0.33642,-0.48114,1.23077,4.61931,227.36732,-1.63,72.22546,132.13,0.5,-1.2485,-10.91,0.233,11.143,2.99261,63.81255,201.9533,47.87307,249.0747,70.77416
100,O=C(O)c1ccccc1O,10.26176,-1.11287,0.33897,-0.50705,1.9,3.15294,254.78306,-1.51,57.54633,57.53,0,1.0904,-9.64,0.643,10.283,3.61303,83.62781,206.67641,58.53917,264.46391,75.20021
101,O=C(O)/C=C/c1ccc(O)cc1,10.10337,-0.98326,0.32782,-0.50797,1.83333,2.77203,298.05462,-1.77,69.58662,57.53,0,1.49,-9.34,0.948,10.288,3.09471,81.87025,198.13632,61.7299,259.11455,78.79201
102,O=C(O)/C=C/c1ccc(O)c(O)c1,10.1258,-1.06244,0.32782,-0.50426,1.92308,2.91512,354.63238,-1.97,74.38085,77.76,0,1.1956,-9.18,1.009,10.189,4.17043,75.30561,194.75269,60.91296,254.91398,76.42794
103,COc1cc(/C=C/C(=O)O)ccc1O,10.22659,-1.01663,0.32782,-0.50425,2.21429,2.94851,368.38479,-1.97,81.0651,66.76,0.1,1.4986,-8.86,0.904,9.764,2.67186,74.95419,186.36522,74.00499,259.61854,71.37196
104,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,11.82685,-2.30947,0.33543,-0.50426,1.84,2.05888,698.84585,-2.62,141.58738,164.75,0.375,-0.6459,-9.28,1.257,10.537,6.44533,73.08367,195.41134,61.6978,256.35747,72.76251
105,O=C(O)C1(O)C[C@@H](O)C(O)[C@H](O)C1,10.52004,-2.14081,0.33539,-0.47911,1.53846,2.7866,203.02831,-0.69,74.05576,118.22,0.85714,-2.3214,-10.53,0.09,10.62,3.67842,72.8567,206.81956,48.54042,254.60831,74.2847
106,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,10.47667,-1.33963,0.35215,-0.47656,2,3.42065,359.70916,-1.85,59.51444,103.02,0,-1.2386,-10.4,1.662,12.062,3.74077,100.25486,218.73867,31.91752,249.90452,106.38665
107,O=C1CC[C@@H](C(=O)O)N1,10.38347,-0.94366,0.32571,-0.47972,2.44444,2.4809,154.2821,-1.06,51.86033,66.4,0.6,-0.6504,-10.11,0.371,10.481,4.70145,67.3689,211.38139,55.71124,266.34096,57.06425
108,CCC(=O)O,9.36806,-0.74537,0.30256,-0.48124,2.2,2.84738,40.15772,-0.53,30.42489,37.3,0.66667,0.481,-11.17,0.947,12.117,1.84765,82.74974,239.94819,44.18263,283.37915,55.4069
